FIPS,State,Area,Less HS Num,HS Num,Some College/Associate Num,Bachelor/More Num,Less HS Pct,HS Pct,Some College/Associate Pct,Bachelor/More Pct,Poverty Num (ALL),Poverty Pct (ALL),Poverty Num (0-17),Poverty Pct (0-17),Median Household Income
00000,US,United States,"24,599,698","59,741,825","64,508,122","77,751,347",10.9,26.4,28.5,34.3,41393176,12.8,12243219,16.9,69717
01000,AL,Alabama,"421,180","1,041,725","1,032,770","932,845",12.3,30.4,30.1,27.2,800848,16.3,250327,22.7,53990
01001,AL,Autauga County,"3,857","12,517","11,935","11,879",9.6,31.1,29.7,29.6,6296,10.7,2199,16.1,66444
01003,AL,Baldwin County,"14,031","46,391","52,215","54,385",8.4,27.8,31.3,32.6,25526,10.8,8207,16.4,65658
01005,AL,Barbour County,"4,155","6,507","4,913","2,100",23.5,36.8,27.8,11.9,5089,23,1776,35.1,38649
01007,AL,Bibb County,"3,366","6,510","4,310","1,739",21.1,40.9,27.1,10.9,4204,20.6,1275,29,48454
01009,AL,Blount County,"7,447","14,414","12,939","6,017",18.2,35.3,31.7,14.7,6992,12,2236,16.7,56894
01011,AL,Bullock County,"1,905","2,957","1,623",671,26.6,41.3,22.7,9.4,2764,32.1,903,41.7,32027
01013,AL,Butler County,"1,646","6,364","3,525","1,731",12.4,48.0,26.6,13.0,4226,22.7,1441,34.2,39442
01015,AL,Calhoun County,"11,783","27,278","24,752","15,118",14.9,34.6,31.4,19.2,21630,19.2,6205,25.2,48166
01017,AL,Chambers County,"4,087","9,763","7,710","3,146",16.5,39.5,31.2,12.7,6699,19.7,2258,32.2,45447
01019,AL,Cherokee County,"3,348","6,678","5,794","2,703",18.1,36.1,31.3,14.6,4513,18.2,1235,26.6,46365
01021,AL,Chilton County,"5,460","12,737","8,135","4,277",17.8,41.6,26.6,14.0,6973,15.5,2362,22.4,55142
01023,AL,Choctaw County,"1,594","3,460","2,817","1,181",17.6,38.2,31.1,13.0,2893,23.3,809,32.4,40601
01025,AL,Clarke County,"2,980","6,569","4,261","2,205",18.6,41.0,26.6,13.8,4366,19.4,1419,29.2,45447
01027,AL,Clay County,"1,675","3,761","3,334","1,283",16.7,37.4,33.2,12.8,2560,18.4,792,27.6,47036
01029,AL,Cleburne County,"1,855","4,145","2,877","1,753",17.5,39.0,27.1,16.5,2236,15,755,22.1,49769
01031,AL,Coffee County,"4,891","10,581","13,185","7,899",13.4,28.9,36.1,21.6,8516,15.9,3087,24.2,55052
01033,AL,Colbert County,"5,561","14,960","12,946","7,368",13.6,36.6,31.7,18.0,9396,16.5,2841,23.6,53341
01035,AL,Conecuh County,886,"4,046","2,334","1,116",10.6,48.3,27.8,13.3,2528,22.4,762,33.9,35621
01037,AL,Coosa County,"1,329","3,334","2,530",856,16.5,41.4,31.4,10.6,1754,17.1,499,29.9,45954
01039,AL,Covington County,"3,767","9,593","8,774","4,313",14.2,36.3,33.2,16.3,7317,19.8,2304,28.3,44188
01041,AL,Crenshaw County,"1,640","3,885","2,050","1,573",17.9,42.5,22.4,17.2,2267,17.5,854,28.9,38037
